fixture,candidate,case,query,execution,corrected_execution,seconds,path_m,remaining_m,floor_error_m,max_stall_s,recoveries,waypoints,expanded,stale
map,layers-0.2,W5/stairs-up,unreachable,unreachable,unreachable,0.000,0.000,6.125,3.290,0.000,0.000,0.000,,
map,layers-0.2,W5/stairs-down,unreachable,unreachable,unreachable,0.000,0.000,6.125,3.290,0.000,0.000,0.000,,
map,layers-0.2,W1/entrance,unreachable,unreachable,unreachable,0.000,0.000,2.300,0.021,0.000,0.000,0.000,,
map,layers-0.2,W2/entrance,invalid,invalid,invalid,0.000,0.000,2.300,0.268,0.000,0.000,0.000,,
map,layers-0.2,W2/stairs-up,unreachable,unreachable,unreachable,0.000,0.000,5.850,3.030,0.000,0.000,0.000,,
map,layers-0.2,W2/stairs-down,unreachable,unreachable,unreachable,0.000,0.000,5.850,3.030,0.000,0.000,0.000,,
map,layers-0.2,W3/entrance,unreachable,unreachable,unreachable,0.000,0.000,2.300,0.272,0.000,0.000,0.000,,
map,layers-0.2,W4/entrance,success,arrived,arrived,1.433,2.316,0.436,0.022,0.467,0.000,3.000,56.000,27.000
map,layers-0.2,W4/stairs-up,invalid,invalid,invalid,0.000,0.000,6.125,3.290,0.000,0.000,0.000,,
map,layers-0.2,W4/stairs-down,invalid,invalid,invalid,0.000,0.000,6.125,3.290,0.000,0.000,0.000,,
map,layers-0.2,E5/entrance,success,arrived,arrived,1.433,2.372,0.429,0.073,0.467,0.000,3.000,28.000,10.000
map,layers-0.2,E5/stairs-up,success,arrived,arrived,3.883,7.324,0.448,0.006,0.350,0.000,4.000,89.000,55.000
map,layers-0.2,E5/stairs-down,success,arrived,arrived,4.017,7.324,0.429,0.006,0.467,0.000,4.000,69.000,16.000
map,layers-0.2,E1/entrance,success,arrived,arrived,1.500,2.478,0.447,0.008,0.467,0.000,3.000,31.000,5.000
map,layers-0.2,E1/stairs-up,unreachable,unreachable,unreachable,0.000,0.000,5.850,3.030,0.000,0.000,0.000,,
map,layers-0.2,E1/stairs-down,unreachable,unreachable,unreachable,0.000,0.000,5.850,3.030,0.000,0.000,0.000,,
map,layers-0.2,E2/entrance,success,arrived,arrived,1.433,2.453,0.439,0.021,0.467,0.000,3.000,27.000,7.000
map,layers-0.2,E3/entrance,invalid,invalid,invalid,0.000,0.000,2.300,0.349,0.000,0.000,0.000,,
map,layers-0.2,E4/entrance,unreachable,unreachable,unreachable,0.000,0.000,2.300,0.099,0.000,0.000,0.000,,
map,layers-0.2,E4/stairs-up,unreachable,unreachable,unreachable,0.000,0.000,6.125,3.290,0.000,0.000,0.000,,
map,layers-0.2,E4/stairs-down,unreachable,unreachable,unreachable,0.000,0.000,6.125,3.290,0.000,0.000,0.000,,
map,recast-0.2,enemy-20/anchor-0,success,arrived,arrived,75.683,113.271,0.428,0.072,0.567,0.000,17.000,,
map,recast-0.2,enemy-20/anchor-1,success,arrived,arrived,72.000,107.880,0.440,0.044,0.467,0.000,17.000,,
map,recast-0.2,enemy-20/anchor-2,invalid,invalid,invalid,0.000,0.000,1.292,0.077,0.000,0.000,0.000,,
map,recast-0.2,enemy-20/anchor-3,success,arrived,arrived,18.017,27.068,0.426,0.095,0.483,0.000,12.000,,
map,recast-0.2,enemy-20/anchor-4,invalid,invalid,invalid,0.000,0.000,37.123,0.077,0.000,0.000,0.000,,
map,recast-0.2,enemy-20/anchor-5,success,arrived,arrived,53.517,80.246,0.433,0.170,0.483,0.000,32.000,,
map,recast-0.2,enemy-20/anchor-6,success,arrived,arrived,3.750,5.851,0.437,0.067,0.467,0.000,4.000,,
map,recast-0.2,enemy-20/anchor-7,invalid,invalid,invalid,0.000,0.000,20.630,0.077,0.000,0.000,0.000,,
map,recast-0.2,enemy-45/anchor-0,success,arrived,arrived,75.783,113.354,0.442,0.071,0.550,0.000,17.000,,
map,recast-0.2,enemy-45/anchor-1,success,arrived,arrived,72.100,107.963,0.447,0.047,0.467,0.000,17.000,,
map,recast-0.2,enemy-45/anchor-2,invalid,invalid,invalid,0.000,0.000,1.187,0.087,0.000,0.000,0.000,,
map,recast-0.2,enemy-45/anchor-3,success,arrived,arrived,18.067,27.152,0.438,0.095,0.483,0.000,12.000,,
map,recast-0.2,enemy-45/anchor-4,invalid,invalid,invalid,0.000,0.000,37.071,0.087,0.000,0.000,0.000,,
map,recast-0.2,enemy-45/anchor-5,success,arrived,arrived,53.583,80.329,0.446,0.172,0.483,0.000,32.000,,
map,recast-0.2,enemy-45/anchor-6,success,arrived,arrived,3.817,5.934,0.427,0.067,0.467,0.000,4.000,,
map,recast-0.2,enemy-45/anchor-7,invalid,invalid,invalid,0.000,0.000,20.526,0.087,0.000,0.000,0.000,,
map,recast-0.2,enemy-38/anchor-0,success,arrived,arrived,12.183,18.681,0.444,0.061,0.467,0.000,6.000,,
map,recast-0.2,enemy-38/anchor-1,success,arrived,arrived,13.167,20.224,0.432,0.018,0.467,0.000,9.000,,
map,recast-0.2,enemy-38/anchor-2,invalid,invalid,invalid,0.000,0.000,27.860,0.083,0.000,0.000,0.000,,
map,recast-0.2,enemy-38/anchor-3,success,arrived,arrived,97.833,146.353,0.433,0.095,0.567,0.000,32.000,,
map,recast-0.2,enemy-38/anchor-4,invalid,invalid,invalid,0.000,0.000,58.577,0.083,0.000,0.000,0.000,,
map,recast-0.2,enemy-38/anchor-5,success,arrived,arrived,126.417,189.489,0.433,0.170,0.467,0.000,29.000,,
map,recast-0.2,enemy-38/anchor-6,success,arrived,arrived,83.600,125.066,0.430,0.067,0.567,0.000,22.000,,
map,recast-0.2,enemy-38/anchor-7,invalid,invalid,invalid,0.000,0.000,34.269,0.083,0.000,0.000,0.000,,
map,recast-0.2,enemy-13/anchor-0,unreachable,unreachable,unreachable,0.000,0.000,21.577,1.183,0.000,0.000,0.000,,
map,recast-0.2,enemy-13/anchor-1,unreachable,unreachable,unreachable,0.000,0.000,29.387,1.183,0.000,0.000,0.000,,
map,recast-0.2,enemy-13/anchor-2,invalid,invalid,invalid,0.000,0.000,4.121,1.183,0.000,0.000,0.000,,
map,recast-0.2,enemy-13/anchor-3,unreachable,unreachable,unreachable,0.000,0.000,14.304,1.183,0.000,0.000,0.000,,
map,recast-0.2,enemy-13/anchor-4,invalid,invalid,invalid,0.000,0.000,33.026,1.183,0.000,0.000,0.000,,
map,recast-0.2,enemy-13/anchor-5,unreachable,unreachable,unreachable,0.000,0.000,40.180,1.183,0.000,0.000,0.000,,
map,recast-0.2,enemy-13/anchor-6,unreachable,unreachable,unreachable,0.000,0.000,8.754,1.183,0.000,0.000,0.000,,
map,recast-0.2,enemy-13/anchor-7,invalid,invalid,invalid,0.000,0.000,16.077,1.183,0.000,0.000,0.000,,
map,recast-0.2,enemy-12/anchor-0,unreachable,unreachable,unreachable,0.000,0.000,34.424,0.387,0.000,0.000,0.000,,
map,recast-0.2,enemy-12/anchor-1,unreachable,unreachable,unreachable,0.000,0.000,41.111,0.387,0.000,0.000,0.000,,
map,recast-0.2,enemy-12/anchor-2,invalid,invalid,invalid,0.000,0.000,20.195,0.387,0.000,0.000,0.000,,
map,recast-0.2,enemy-12/anchor-3,unreachable,unreachable,unreachable,0.000,0.000,6.097,0.387,0.000,0.000,0.000,,
map,recast-0.2,enemy-12/anchor-4,invalid,invalid,invalid,0.000,0.000,24.559,0.387,0.000,0.000,0.000,,
map,recast-0.2,enemy-12/anchor-5,unreachable,unreachable,unreachable,0.000,0.000,29.664,0.387,0.000,0.000,0.000,,
map,recast-0.2,enemy-12/anchor-6,unreachable,unreachable,unreachable,0.000,0.000,24.928,0.387,0.000,0.000,0.000,,
map,recast-0.2,enemy-12/anchor-7,invalid,invalid,invalid,0.000,0.000,0.453,0.387,0.000,0.000,0.000,,
map,recast-0.2,W5/entrance,success,arrived,arrived,1.433,2.326,0.432,0.008,0.467,0.000,3.000,,
map,recast-0.2,W5/stairs-up,unreachable,unreachable,unreachable,0.000,0.000,6.125,3.290,0.000,0.000,0.000,,
map,recast-0.2,W5/stairs-down,invalid,invalid,invalid,0.000,0.000,6.125,3.290,0.000,0.000,0.000,,
map,recast-0.2,W1/entrance,success,arrived,arrived,1.400,2.592,0.438,0.043,0.433,0.000,3.000,,
map,recast-0.2,W2/entrance,invalid,invalid,invalid,0.000,0.000,2.300,0.268,0.000,0.000,0.000,,
map,recast-0.2,W2/stairs-up,unreachable,unreachable,unreachable,0.000,0.000,5.850,3.030,0.000,0.000,0.000,,
map,recast-0.2,W2/stairs-down,unreachable,unreachable,unreachable,0.000,0.000,5.850,3.030,0.000,0.000,0.000,,
map,recast-0.2,W3/entrance,unreachable,unreachable,unreachable,0.000,0.000,2.300,0.272,0.000,0.000,0.000,,
map,recast-0.2,W4/entrance,success,arrived,arrived,1.433,2.364,0.433,0.022,0.467,0.000,3.000,,
map,recast-0.2,W4/stairs-up,invalid,invalid,invalid,0.000,0.000,6.125,3.290,0.000,0.000,0.000,,
map,recast-0.2,W4/stairs-down,invalid,invalid,invalid,0.000,0.000,6.125,3.290,0.000,0.000,0.000,,
map,recast-0.2,E5/entrance,success,arrived,arrived,1.433,2.469,0.428,0.074,0.467,0.000,3.000,,
map,recast-0.2,E5/stairs-up,unreachable,unreachable,unreachable,0.000,0.000,6.125,3.290,0.000,0.000,0.000,,
map,recast-0.2,E5/stairs-down,unreachable,unreachable,unreachable,0.000,0.000,6.125,3.290,0.000,0.000,0.000,,
map,recast-0.2,E1/entrance,success,arrived,arrived,1.433,2.346,0.432,0.008,0.467,0.000,3.000,,
map,recast-0.2,E1/stairs-up,unreachable,unreachable,unreachable,0.000,0.000,5.850,3.030,0.000,0.000,0.000,,
map,recast-0.2,E1/stairs-down,unreachable,unreachable,unreachable,0.000,0.000,5.850,3.030,0.000,0.000,0.000,,
map,recast-0.2,E2/entrance,success,arrived,arrived,1.433,2.391,0.432,0.021,0.467,0.000,3.000,,
map,recast-0.2,E3/entrance,invalid,invalid,invalid,0.000,0.000,2.300,0.349,0.000,0.000,0.000,,
map,recast-0.2,E4/entrance,success,arrived,arrived,1.433,2.331,0.432,0.020,0.467,0.000,3.000,,
map,recast-0.2,E4/stairs-up,unreachable,unreachable,unreachable,0.000,0.000,6.125,3.290,0.000,0.000,0.000,,
map,recast-0.2,E4/stairs-down,unreachable,unreachable,unreachable,0.000,0.000,6.125,3.290,0.000,0.000,0.000,,
map,recast-0.1,enemy-20/anchor-0,success,arrived,arrived,14.567,21.307,0.431,0.073,0.650,0.000,14.000,,
map,recast-0.1,enemy-20/anchor-1,success,arrived,arrived,21.033,30.899,0.442,0.018,0.650,0.000,18.000,,
map,recast-0.1,enemy-20/anchor-2,invalid,invalid,invalid,0.000,0.000,1.292,0.077,0.000,0.000,0.000,,
map,recast-0.1,enemy-20/anchor-3,success,arrived,arrived,18.183,27.011,0.428,0.095,0.617,0.000,12.000,,
map,recast-0.1,enemy-20/anchor-4,invalid,invalid,invalid,0.000,0.000,37.123,0.077,0.000,0.000,0.000,,
map,recast-0.1,enemy-20/anchor-5,success,arrived,arrived,56.383,81.098,0.441,0.156,1.217,0.000,38.000,,
map,recast-0.1,enemy-20/anchor-6,success,arrived,arrived,3.733,5.823,0.445,0.067,0.467,0.000,4.000,,
map,recast-0.1,enemy-20/anchor-7,invalid,invalid,invalid,0.000,0.000,20.630,0.077,0.000,0.000,0.000,,
map,recast-0.1,enemy-45/anchor-0,success,arrived,arrived,12.883,19.425,0.429,0.077,0.483,0.000,6.000,,
map,recast-0.1,enemy-45/anchor-1,success,arrived,arrived,19.167,28.825,0.442,0.018,0.483,0.000,10.000,,
map,recast-0.1,enemy-45/anchor-2,invalid,invalid,invalid,0.000,0.000,1.187,0.087,0.000,0.000,0.000,,
map,recast-0.1,enemy-45/anchor-3,success,arrived,arrived,22.283,32.251,0.441,0.095,0.883,0.000,20.000,,
map,recast-0.1,enemy-45/anchor-4,invalid,invalid,invalid,0.000,0.000,37.071,0.087,0.000,0.000,0.000,,
map,recast-0.1,enemy-45/anchor-5,success,arrived,arrived,60.650,86.338,0.442,0.157,1.533,0.000,46.000,,
map,recast-0.1,enemy-45/anchor-6,success,arrived,arrived,6.533,9.824,0.445,0.067,0.483,0.000,10.000,,
map,recast-0.1,enemy-45/anchor-7,invalid,invalid,invalid,0.000,0.000,20.526,0.087,0.000,0.000,0.000,,
map,recast-0.1,enemy-38/anchor-0,success,arrived,arrived,12.267,18.598,0.443,0.062,0.467,0.000,5.000,,
map,recast-0.1,enemy-38/anchor-1,success,arrived,arrived,13.250,19.906,0.427,0.018,0.467,0.000,9.000,,
map,recast-0.1,enemy-38/anchor-2,invalid,invalid,invalid,0.000,0.000,27.860,0.083,0.000,0.000,0.000,,
map,recast-0.1,enemy-38/anchor-3,success,arrived,arrived,40.650,59.434,0.449,0.095,0.683,0.000,21.000,,
map,recast-0.1,enemy-38/anchor-4,invalid,invalid,invalid,0.000,0.000,58.577,0.083,0.000,0.000,0.000,,
map,recast-0.1,enemy-38/anchor-5,success,wrong-arrival,arrived,68.983,113.521,12.788,0.067,2.017,0.000,47.000,,
map,recast-0.1,enemy-38/anchor-6,success,arrived,arrived,25.200,37.007,0.438,0.067,0.683,0.000,11.000,,
map,recast-0.1,enemy-38/anchor-7,invalid,invalid,invalid,0.000,0.000,34.269,0.083,0.000,0.000,0.000,,
map,recast-0.1,enemy-13/anchor-0,unreachable,unreachable,unreachable,0.000,0.000,21.577,1.183,0.000,0.000,0.000,,
map,recast-0.1,enemy-13/anchor-1,unreachable,unreachable,unreachable,0.000,0.000,29.387,1.183,0.000,0.000,0.000,,
map,recast-0.1,enemy-13/anchor-2,invalid,invalid,invalid,0.000,0.000,4.121,1.183,0.000,0.000,0.000,,
map,recast-0.1,enemy-13/anchor-3,unreachable,unreachable,unreachable,0.000,0.000,14.304,1.183,0.000,0.000,0.000,,
map,recast-0.1,enemy-13/anchor-4,invalid,invalid,invalid,0.000,0.000,33.026,1.183,0.000,0.000,0.000,,
map,recast-0.1,enemy-13/anchor-5,unreachable,unreachable,unreachable,0.000,0.000,40.180,1.183,0.000,0.000,0.000,,
map,recast-0.1,enemy-13/anchor-6,unreachable,unreachable,unreachable,0.000,0.000,8.754,1.183,0.000,0.000,0.000,,
map,recast-0.1,enemy-13/anchor-7,invalid,invalid,invalid,0.000,0.000,16.077,1.183,0.000,0.000,0.000,,
map,recast-0.1,enemy-12/anchor-0,unreachable,unreachable,unreachable,0.000,0.000,34.424,0.387,0.000,0.000,0.000,,
map,recast-0.1,enemy-12/anchor-1,unreachable,unreachable,unreachable,0.000,0.000,41.111,0.387,0.000,0.000,0.000,,
map,recast-0.1,enemy-12/anchor-2,invalid,invalid,invalid,0.000,0.000,20.195,0.387,0.000,0.000,0.000,,
map,recast-0.1,enemy-12/anchor-3,unreachable,unreachable,unreachable,0.000,0.000,6.097,0.387,0.000,0.000,0.000,,
map,recast-0.1,enemy-12/anchor-4,invalid,invalid,invalid,0.000,0.000,24.559,0.387,0.000,0.000,0.000,,
map,recast-0.1,enemy-12/anchor-5,unreachable,unreachable,unreachable,0.000,0.000,29.664,0.387,0.000,0.000,0.000,,
map,recast-0.1,enemy-12/anchor-6,unreachable,unreachable,unreachable,0.000,0.000,24.928,0.387,0.000,0.000,0.000,,
map,recast-0.1,enemy-12/anchor-7,invalid,invalid,invalid,0.000,0.000,0.453,0.387,0.000,0.000,0.000,,
map,recast-0.1,W5/entrance,success,arrived,arrived,1.433,2.315,0.432,0.008,0.467,0.000,3.000,,
map,recast-0.1,W5/stairs-up,unreachable,unreachable,unreachable,0.000,0.000,6.125,3.290,0.000,0.000,0.000,,
map,recast-0.1,W5/stairs-down,unreachable,unreachable,unreachable,0.000,0.000,6.125,3.290,0.000,0.000,0.000,,
map,recast-0.1,W1/entrance,success,arrived,arrived,1.400,2.441,0.438,0.043,0.433,0.000,3.000,,
map,recast-0.1,W2/entrance,invalid,invalid,invalid,0.000,0.000,2.300,0.268,0.000,0.000,0.000,,
map,recast-0.1,W2/stairs-up,unreachable,unreachable,unreachable,0.000,0.000,5.850,3.030,0.000,0.000,0.000,,
map,recast-0.1,W2/stairs-down,unreachable,unreachable,unreachable,0.000,0.000,5.850,3.030,0.000,0.000,0.000,,
map,recast-0.1,W3/entrance,success,arrived,arrived,1.483,2.424,0.445,0.008,0.467,0.000,4.000,,
map,recast-0.1,W4/entrance,success,arrived,arrived,1.433,2.330,0.433,0.022,0.467,0.000,3.000,,
map,recast-0.1,W4/stairs-up,invalid,invalid,invalid,0.000,0.000,6.125,3.290,0.000,0.000,0.000,,
map,recast-0.1,W4/stairs-down,invalid,invalid,invalid,0.000,0.000,6.125,3.290,0.000,0.000,0.000,,
map,recast-0.1,E5/entrance,success,arrived,arrived,1.433,2.377,0.428,0.074,0.467,0.000,3.000,,
map,recast-0.1,E5/stairs-up,unreachable,unreachable,unreachable,0.000,0.000,6.125,3.290,0.000,0.000,0.000,,
map,recast-0.1,E5/stairs-down,unreachable,unreachable,unreachable,0.000,0.000,6.125,3.290,0.000,0.000,0.000,,
map,recast-0.1,E1/entrance,success,arrived,arrived,1.433,2.346,0.432,0.008,0.467,0.000,3.000,,
map,recast-0.1,E1/stairs-up,success,arrived,arrived,3.800,6.624,0.432,0.006,0.467,0.000,3.000,,
map,recast-0.1,E1/stairs-down,success,arrived,arrived,3.800,6.624,0.431,0.006,0.467,0.000,3.000,,
map,recast-0.1,E2/entrance,success,arrived,arrived,1.433,2.366,0.432,0.021,0.467,0.000,3.000,,
map,recast-0.1,E3/entrance,invalid,invalid,invalid,0.000,0.000,2.300,0.349,0.000,0.000,0.000,,
map,recast-0.1,E4/entrance,success,arrived,arrived,1.433,2.331,0.432,0.020,0.467,0.000,3.000,,
map,recast-0.1,E4/stairs-up,unreachable,unreachable,unreachable,0.000,0.000,6.125,3.290,0.000,0.000,0.000,,
map,recast-0.1,E4/stairs-down,unreachable,unreachable,unreachable,0.000,0.000,6.125,3.290,0.000,0.000,0.000,,
map,recast-0.09,enemy-20/anchor-0,success,execution-failure,wrong-arrival,3.233,21.212,17.971,0.098,1.250,0.000,12.000,,
map,recast-0.09,enemy-20/anchor-1,success,execution-failure,wrong-arrival,3.233,30.709,25.973,0.098,1.250,0.000,15.000,,
map,recast-0.09,enemy-20/anchor-2,success,execution-failure,wrong-arrival,3.233,8.918,2.449,0.098,1.250,0.000,11.000,,
map,recast-0.09,enemy-20/anchor-3,success,arrived,arrived,13.550,20.644,0.428,0.095,0.550,0.000,12.000,,
map,recast-0.09,enemy-20/anchor-4,invalid,invalid,invalid,0.000,0.000,37.123,0.077,0.000,0.000,0.000,,
map,recast-0.09,enemy-20/anchor-5,success,arrived,arrived,34.383,50.450,0.443,0.158,0.600,0.000,29.000,,
map,recast-0.09,enemy-20/anchor-6,success,arrived,arrived,3.783,5.819,0.438,0.067,0.467,0.000,5.000,,
map,recast-0.09,enemy-20/anchor-7,invalid,invalid,invalid,0.000,0.000,20.630,0.077,0.000,0.000,0.000,,
map,recast-0.09,enemy-45/anchor-0,success,arrived,arrived,13.433,20.140,0.449,0.071,0.483,0.000,7.000,,
map,recast-0.09,enemy-45/anchor-1,success,arrived,arrived,19.750,29.465,0.441,0.018,0.483,0.000,10.000,,
map,recast-0.09,enemy-45/anchor-2,success,arrived,arrived,0.683,1.285,0.448,0.076,0.483,0.000,3.000,,
map,recast-0.09,enemy-45/anchor-3,success,arrived,arrived,18.767,26.611,0.447,0.093,1.033,0.000,14.000,,
map,recast-0.09,enemy-45/anchor-4,invalid,invalid,invalid,0.000,0.000,37.071,0.087,0.000,0.000,0.000,,
map,recast-0.09,enemy-45/anchor-5,success,execution-failure,arrived,5.450,57.713,46.705,0.200,2.267,0.000,36.000,,
map,recast-0.09,enemy-45/anchor-6,success,arrived,arrived,6.650,9.679,0.441,0.067,0.533,0.000,11.000,,
map,recast-0.09,enemy-45/anchor-7,invalid,invalid,invalid,0.000,0.000,20.526,0.087,0.000,0.000,0.000,,
map,recast-0.09,enemy-38/anchor-0,success,arrived,arrived,12.300,18.731,0.429,0.062,0.467,0.000,6.000,,
map,recast-0.09,enemy-38/anchor-1,success,arrived,arrived,13.150,19.898,0.430,0.018,0.467,0.000,7.000,,
map,recast-0.09,enemy-38/anchor-2,success,wrong-arrival,wrong-arrival,20.217,30.178,0.429,0.396,0.467,0.000,8.000,,
map,recast-0.09,enemy-38/anchor-3,success,arrived,arrived,33.717,48.957,0.437,0.093,0.667,0.000,16.000,,
map,recast-0.09,enemy-38/anchor-4,invalid,invalid,invalid,0.000,0.000,58.577,0.083,0.000,0.000,0.000,,
map,recast-0.09,enemy-38/anchor-5,success,arrived,arrived,54.733,79.574,0.437,0.154,0.667,0.000,24.000,,
map,recast-0.09,enemy-38/anchor-6,success,arrived,arrived,24.467,36.212,0.437,0.067,0.483,0.000,13.000,,
map,recast-0.09,enemy-38/anchor-7,invalid,invalid,invalid,0.000,0.000,34.269,0.083,0.000,0.000,0.000,,
map,recast-0.09,enemy-13/anchor-0,unreachable,unreachable,unreachable,0.000,0.000,21.577,1.183,0.000,0.000,0.000,,
map,recast-0.09,enemy-13/anchor-1,unreachable,unreachable,unreachable,0.000,0.000,29.387,1.183,0.000,0.000,0.000,,
map,recast-0.09,enemy-13/anchor-2,unreachable,unreachable,unreachable,0.000,0.000,4.121,1.183,0.000,0.000,0.000,,
map,recast-0.09,enemy-13/anchor-3,unreachable,unreachable,unreachable,0.000,0.000,14.304,1.183,0.000,0.000,0.000,,
map,recast-0.09,enemy-13/anchor-4,invalid,invalid,invalid,0.000,0.000,33.026,1.183,0.000,0.000,0.000,,
map,recast-0.09,enemy-13/anchor-5,unreachable,unreachable,unreachable,0.000,0.000,40.180,1.183,0.000,0.000,0.000,,
map,recast-0.09,enemy-13/anchor-6,unreachable,unreachable,unreachable,0.000,0.000,8.754,1.183,0.000,0.000,0.000,,
map,recast-0.09,enemy-13/anchor-7,invalid,invalid,invalid,0.000,0.000,16.077,1.183,0.000,0.000,0.000,,
map,recast-0.09,enemy-12/anchor-0,unreachable,unreachable,unreachable,0.000,0.000,34.424,0.387,0.000,0.000,0.000,,
map,recast-0.09,enemy-12/anchor-1,unreachable,unreachable,unreachable,0.000,0.000,41.111,0.387,0.000,0.000,0.000,,
map,recast-0.09,enemy-12/anchor-2,unreachable,unreachable,unreachable,0.000,0.000,20.195,0.387,0.000,0.000,0.000,,
map,recast-0.09,enemy-12/anchor-3,unreachable,unreachable,unreachable,0.000,0.000,6.097,0.387,0.000,0.000,0.000,,
map,recast-0.09,enemy-12/anchor-4,invalid,invalid,invalid,0.000,0.000,24.559,0.387,0.000,0.000,0.000,,
map,recast-0.09,enemy-12/anchor-5,unreachable,unreachable,unreachable,0.000,0.000,29.664,0.387,0.000,0.000,0.000,,
map,recast-0.09,enemy-12/anchor-6,unreachable,unreachable,unreachable,0.000,0.000,24.928,0.387,0.000,0.000,0.000,,
map,recast-0.09,enemy-12/anchor-7,invalid,invalid,invalid,0.000,0.000,0.453,0.387,0.000,0.000,0.000,,
map,recast-0.09,W5/entrance,success,arrived,arrived,1.433,2.315,0.432,0.008,0.467,0.000,3.000,,
map,recast-0.09,W5/stairs-up,search-limit,search-limit,search-limit,0.000,0.000,6.125,3.290,0.000,0.000,0.000,,
map,recast-0.09,W5/stairs-down,unreachable,unreachable,unreachable,0.000,0.000,6.125,3.290,0.000,0.000,0.000,,
map,recast-0.09,W1/entrance,success,arrived,arrived,1.400,2.376,0.438,0.043,0.433,0.000,3.000,,
map,recast-0.09,W2/entrance,invalid,invalid,invalid,0.000,0.000,2.300,0.268,0.000,0.000,0.000,,
map,recast-0.09,W2/stairs-up,search-limit,search-limit,search-limit,0.000,0.000,5.850,3.030,0.000,0.000,0.000,,
map,recast-0.09,W2/stairs-down,unreachable,unreachable,unreachable,0.000,0.000,5.850,3.030,0.000,0.000,0.000,,
map,recast-0.09,W3/entrance,success,arrived,arrived,1.483,2.399,0.441,0.008,0.467,0.000,4.000,,
map,recast-0.09,W4/entrance,success,arrived,arrived,1.433,2.331,0.433,0.022,0.467,0.000,3.000,,
map,recast-0.09,W4/stairs-up,invalid,invalid,invalid,0.000,0.000,6.125,3.290,0.000,0.000,0.000,,
map,recast-0.09,W4/stairs-down,invalid,invalid,invalid,0.000,0.000,6.125,3.290,0.000,0.000,0.000,,
map,recast-0.09,E5/entrance,success,arrived,arrived,1.433,2.380,0.428,0.074,0.467,0.000,3.000,,
map,recast-0.09,E5/stairs-up,success,arrived,arrived,3.850,7.055,0.439,0.006,0.350,0.000,3.000,,
map,recast-0.09,E5/stairs-down,success,arrived,arrived,3.983,7.055,0.438,0.006,0.467,0.000,3.000,,
map,recast-0.09,E1/entrance,success,arrived,arrived,1.433,2.346,0.432,0.008,0.467,0.000,3.000,,
map,recast-0.09,E1/stairs-up,success,arrived,arrived,3.800,6.624,0.432,0.006,0.467,0.000,3.000,,
map,recast-0.09,E1/stairs-down,success,arrived,arrived,3.800,6.624,0.431,0.006,0.467,0.000,3.000,,
map,recast-0.09,E2/entrance,success,arrived,arrived,1.433,2.345,0.432,0.021,0.467,0.000,3.000,,
map,recast-0.09,E3/entrance,success,arrived,arrived,1.433,2.488,0.432,0.008,0.467,0.000,3.000,,
map,recast-0.09,E4/entrance,success,arrived,arrived,1.433,2.331,0.432,0.020,0.467,0.000,3.000,,
map,recast-0.09,E4/stairs-up,search-limit,search-limit,search-limit,0.000,0.000,6.125,3.290,0.000,0.000,0.000,,
map,recast-0.09,E4/stairs-down,unreachable,unreachable,unreachable,0.000,0.000,6.125,3.290,0.000,0.000,0.000,,
